clade_name	D10-1	D10-2	D10-3	D11-1	D11-2	D11-3	D12-1	D12-2	D12-3	D13-1	D13-2	D13-3	D14-1	D14-2	D14-3	D15-1	D15-2	D15-3	D16-1	D16-2	D16-3	D17-1	D17-2	D17-3	D2-1	D2-2	D2-3	D3-1	D3-2	D3-3	D4-1	D4-2	D4-3	D5-1	D5-2	D5-3	D6-1	D6-2	D6-3	D7-1	D7-2	D7-3	D8-1	D8-2	D8-3	D9-1	D9-2	D9-3	I10-1	I10-2	I10-3	I11-1	I11-2	I11-3	I2-1	I2-2	I2-3	I3-1	I3-2	I3-3	I4-1	I4-2	I4-3	I5-1	I5-2	I5-3	I6-1	I6-2	I6-3	I7-1	I7-2	I7-3	I8-1	I8-2	I8-3	I9-1	I9-2	I9-3
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1690|s__GGB1690_SGB40190	0.0411	0.03666	0.03719	0.03993	0.0433	0.03741	0.05249	0.03663	0.04257	0.04212	0.038	0.05181	0.04564	0.06091	0.04343	0.04274	0.05611	0.04283	0.04108	0.0358	0.03161	0.03037	0.0308	0.03906	0.0454	0.04382	0.05201	0.01541	0.01433	0.01379	0.02573	0.02957	0.02533	0.0301	0.0434	0.05104	0.0425	0.04352	0.03648	0.05596	0.04471	0.03879	0.04085	0.04086	0.05933	0.03011	0.03809	0.03303	0.01413	0.01319	0.01577	0.01676	0.01312	0.01618	0.01157	0.02015	0.01876	0.00239	0.00136	0.002	0.00646	0.00421	0.0052	0.01094	0.01692	0.01279	0.014	0.01856	0.01327	0.0215	0.01798	0.01261	0.0169	0.01816	0.01131	0.01252	0.00975	0.016
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_DSM_112343	0.03728	0.03986	0.03465	0.03711	0.03828	0.03502	0.04588	0.03026	0.03987	0.03516	0.03137	0.04692	0.04285	0.04537	0.04069	0.04136	0.04725	0.04202	0.03821	0.03447	0.0284	0.03197	0.03114	0.04091	0.04654	0.04302	0.05224	0.01967	0.01338	0.01741	0.03323	0.03972	0.03532	0.02188	0.04092	0.04491	0.03234	0.0355	0.03956	0.04754	0.0459	0.03667	0.03222	0.03507	0.05344	0.03195	0.03327	0.03312	0.07405	0.05899	0.08335	0.07894	0.074	0.07374	0.06565	0.06944	0.06471	0.06492	0.06546	0.05195	0.06394	0.0599	0.05413	0.06662	0.08003	0.08455	0.05982	0.06638	0.06962	0.06596	0.08387	0.07483	0.08965	0.10677	0.07326	0.05262	0.05567	0.05759
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27876|s__GGB27876_SGB40310	0.03523	0.03271	0.03996	0.03821	0.03095	0.03728	0.03239	0.03313	0.0403	0.04025	0.03937	0.04924	0.0449	0.06249	0.05159	0.04651	0.05143	0.04739	0.03684	0.0439	0.03571	0.02473	0.03402	0.03285	0.04288	0.05197	0.0494	0.02456	0.01852	0.01903	0.02981	0.05032	0.04172	0.02941	0.03801	0.04581	0.04049	0.04272	0.04214	0.04347	0.04653	0.03497	0.02173	0.03973	0.04911	0.03621	0.0318	0.04105	0.05372	0.03578	0.05007	0.04631	0.0453	0.04315	0.04154	0.03513	0.03971	0.03907	0.04368	0.03711	0.03851	0.03433	0.04146	0.04148	0.04825	0.05153	0.03049	0.03481	0.03404	0.04444	0.04857	0.04651	0.05087	0.05879	0.0464	0.02428	0.02378	0.02581
k__Bacteria|p__Firmicutes|c__CFGB77250|o__OFGB77250|f__FGB77250|g__GGB30408|s__GGB30408_SGB43438	0.03514	0.03039	0.03443	0.02618	0.02087	0.03188	0.03663	0.04162	0.04328	0.04492	0.04015	0.04729	0.04415	0.06631	0.04243	0.03764	0.05385	0.0457	0.03986	0.04031	0.04334	0.02277	0.04384	0.03899	0.03349	0.04395	0.05051	0.04118	0.03232	0.02253	0.02992	0.04543	0.03836	0.03139	0.03069	0.03324	0.03503	0.03521	0.03206	0.03445	0.0367	0.03237	0.01862	0.04776	0.04876	0.03783	0.02954	0.04167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3793|s__GGB3793_SGB5158	0.03316	0.03133	0.03489	0.01885	0.01242	0.03357	0.02874	0.0405	0.04105	0.04486	0.04759	0.04795	0.05404	0.06882	0.03564	0.03618	0.06607	0.0469	0.05145	0.05853	0.05798	0.02126	0.0558	0.05176	0.03204	0.04203	0.04965	0.04228	0.037	0.02641	0.03365	0.0381	0.03955	0.03429	0.02562	0.02618	0.02625	0.02903	0.0265	0.02296	0.0287	0.02412	0.00875	0.05019	0.04922	0.04302	0.02002	0.04873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00359	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus	0.03053	0.02239	0.00098	0.0806	0.01171	0.03985	0.06077	0.03402	0.04975	0.06754	0.05191	0.08616	0.0	0.05518	0.00032	0.00512	0.0	0.03365	0.01525	0.14377	0.00658	0.01781	0.03666	0.03641	0.00353	0.11148	0.08058	0.0	0.0	0.0	0.0	0.0	0.0	0.02916	0.07269	0.059	0.02282	0.0258	0.06234	0.15257	0.00058	0.0181	0.04967	0.10401	0.02457	0.02958	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_unclassified|s__Coriobacteriaceae_bacterium	0.03025	0.02384	0.02305	0.0316	0.0323	0.02179	0.03508	0.02703	0.03118	0.02791	0.02137	0.03439	0.03035	0.04511	0.03483	0.0364	0.03725	0.02901	0.02675	0.02572	0.02322	0.03227	0.04039	0.03563	0.02557	0.02529	0.02512	0.0004	0.00069	0.00032	0.00238	0.00317	0.00123	0.02162	0.02849	0.02893	0.02794	0.02636	0.03004	0.03853	0.02765	0.03074	0.02561	0.02299	0.03986	0.02131	0.02366	0.02231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9507|o__OFGB9507|f__FGB9507|g__GGB28380|s__GGB28380_SGB40960	0.02995	0.03483	0.02419	0.03157	0.02652	0.03178	0.02831	0.02768	0.03258	0.03655	0.03435	0.04134	0.03644	0.0468	0.03829	0.03146	0.03964	0.03837	0.02927	0.03443	0.02961	0.03	0.04265	0.04138	0.03094	0.03339	0.03451	0.01266	0.00922	0.01144	0.0237	0.02669	0.02396	0.02487	0.03186	0.03224	0.02535	0.03375	0.0278	0.03329	0.03424	0.02804	0.02167	0.03327	0.04452	0.02478	0.02967	0.03363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30290|s__GGB30290_SGB43252	0.02868	0.02294	0.02174	0.02371	0.02261	0.0255	0.03916	0.01916	0.0285	0.02741	0.01795	0.03163	0.03217	0.03673	0.02808	0.02709	0.03656	0.02503	0.02347	0.02036	0.02122	0.01357	0.02298	0.01938	0.02136	0.01959	0.02134	0.0	0.0	0.0	0.00744	0.00587	0.00639	0.01922	0.02613	0.02472	0.02311	0.02586	0.02394	0.03018	0.02578	0.02411	0.01766	0.02176	0.03749	0.0182	0.02041	0.01671	0.0067	0.00568	0.00586	0.00542	0.00584	0.00739	0.00453	0.00595	0.00656	0.0	0.0	0.0	0.00505	0.00371	0.00255	0.00702	0.00679	0.00583	0.00401	0.0057	0.00265	0.01014	0.00429	0.00914	0.00746	0.00611	0.00605	0.0032	0.00518	0.0045
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.0262	0.04108	0.03073	0.02383	0.01964	0.02714	0.04267	0.03581	0.06637	0.0505	0.02174	0.0524	0.05444	0.06351	0.02835	0.0567	0.04739	0.0305	0.06566	0.03964	0.05716	0.0407	0.03152	0.04036	0.02787	0.02168	0.10376	0.0	0.0	0.0	0.0	0.0	0.0	0.01884	0.08313	0.03349	0.0225	0.02453	0.03369	0.02963	0.07099	0.09168	0.02487	0.04853	0.09454	0.03116	0.01444	0.0854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27914|s__GGB27914_SGB40352	0.02577	0.02386	0.02399	0.02045	0.02707	0.02361	0.03154	0.024	0.02901	0.02497	0.02765	0.02909	0.02689	0.03733	0.03494	0.02563	0.03939	0.02929	0.01887	0.02483	0.01772	0.02001	0.0298	0.03026	0.02862	0.02515	0.02852	0.02576	0.02035	0.02116	0.02384	0.03243	0.0297	0.01715	0.02641	0.02729	0.02121	0.02918	0.02349	0.02938	0.03109	0.02757	0.02309	0.0276	0.03706	0.0208	0.02163	0.02075	0.01964	0.01454	0.01711	0.01727	0.01493	0.01232	0.00843	0.01073	0.01459	0.00965	0.01745	0.01172	0.01346	0.01355	0.01456	0.01395	0.0164	0.01645	0.01202	0.01436	0.01421	0.01686	0.01544	0.01741	0.01889	0.02349	0.01515	0.00971	0.00894	0.00923
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri	0.0257	0.09129	0.02702	0.06723	0.10061	0.02775	0.02089	0.01862	0.01866	0.03367	0.02641	0.05291	0.05197	0.07812	0.05948	0.08389	0.14173	0.01901	0.0256	0.01967	0.03735	0.42515	0.12444	0.10716	0.01625	0.02314	0.02226	0.03494	0.04113	0.05691	0.01868	0.0131	0.00241	0.01497	0.00877	0.03825	0.05139	0.00879	0.02054	0.04083	0.01303	0.06668	0.03789	0.04923	0.05548	0.05238	0.00557	0.11612	0.03789	0.01982	0.02058	0.0274	0.0333	0.02536	0.02371	0.01664	0.03011	0.23849	0.27519	0.33021	0.16823	0.17222	0.18234	0.02193	0.03008	0.02827	0.04017	0.02881	0.05022	0.02511	0.02436	0.05846	0.02871	0.02754	0.02544	0.03731	0.03826	0.04245
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB24146|s__GGB24146_SGB35950	0.02289	0.02219	0.0219	0.02285	0.02861	0.02841	0.02485	0.01853	0.02273	0.02315	0.01928	0.02444	0.02136	0.03564	0.02181	0.02058	0.03081	0.02517	0.01929	0.02342	0.02072	0.01283	0.01704	0.01649	0.02155	0.02396	0.02362	0.00924	0.00979	0.00846	0.01626	0.02264	0.01859	0.02452	0.02316	0.02063	0.02308	0.02785	0.02487	0.02267	0.02411	0.02104	0.02588	0.02346	0.02891	0.01789	0.02716	0.02093	0.00757	0.00548	0.0075	0.00613	0.00705	0.00707	0.00624	0.00319	0.00513	0.00928	0.00641	0.00594	0.00875	0.00812	0.00818	0.00703	0.00579	0.00731	0.00358	0.00364	0.00544	0.00492	0.00631	0.00838	0.01	0.00632	0.00756	0.00318	0.00133	0.00234
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27778|s__GGB27778_SGB40192	0.02244	0.02462	0.02132	0.02649	0.02442	0.02111	0.02909	0.02383	0.02965	0.02622	0.02296	0.03385	0.02769	0.0397	0.03001	0.02638	0.02988	0.02488	0.02439	0.02584	0.02074	0.01664	0.01861	0.02259	0.03052	0.03217	0.03073	0.01537	0.01023	0.00852	0.02389	0.03019	0.02112	0.0181	0.02915	0.02749	0.02232	0.02715	0.02287	0.03332	0.02438	0.02811	0.01588	0.0249	0.0356	0.02252	0.02103	0.02281	0.00861	0.00859	0.01041	0.01024	0.00869	0.00616	0.00573	0.00905	0.00928	0.00457	0.00401	0.0042	0.00569	0.00439	0.00399	0.00628	0.00815	0.00927	0.00458	0.00576	0.00463	0.00755	0.00752	0.00908	0.00801	0.0105	0.00796	0.00623	0.00434	0.00723
k__Bacteria|p__Bacteroidota|c__CFGB9388|o__OFGB9388|f__FGB9388|g__GGB27866|s__GGB27866_SGB40300	0.02177	0.02273	0.01974	0.02168	0.02232	0.02272	0.02261	0.02055	0.02076	0.02495	0.0227	0.01964	0.01903	0.02852	0.02042	0.01872	0.0234	0.02244	0.01595	0.02134	0.01702	0.01701	0.0215	0.02024	0.02183	0.02088	0.01745	0.01864	0.01489	0.0145	0.02039	0.01908	0.01982	0.02224	0.02262	0.02303	0.02572	0.02271	0.02419	0.0177	0.01839	0.02333	0.02085	0.01771	0.02691	0.01469	0.02398	0.01796	0.02792	0.03188	0.03496	0.04326	0.0407	0.03643	0.02753	0.02629	0.03062	0.00446	0.00779	0.00731	0.01995	0.01468	0.01398	0.02744	0.03075	0.03365	0.02351	0.0259	0.02973	0.03679	0.03572	0.03449	0.03461	0.0328	0.03238	0.02214	0.02268	0.02098
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27855|s__GGB27855_SGB40289	0.02145	0.02173	0.02212	0.01983	0.02026	0.02037	0.02307	0.02126	0.02518	0.02606	0.02804	0.02157	0.02192	0.02823	0.02089	0.02474	0.02517	0.02423	0.02531	0.02394	0.02238	0.01825	0.02112	0.02077	0.02259	0.02368	0.02514	0.00594	0.00362	0.00457	0.02591	0.03274	0.0236	0.02189	0.02292	0.02352	0.02043	0.01924	0.0232	0.02389	0.02224	0.02196	0.02315	0.02324	0.02915	0.02416	0.01893	0.0218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28404|s__GGB28404_SGB40986	0.02091	0.02474	0.01968	0.01704	0.01813	0.02265	0.02292	0.02464	0.02672	0.03568	0.02287	0.03081	0.03044	0.03813	0.0201	0.02551	0.03308	0.03002	0.02346	0.02157	0.02173	0.0213	0.02707	0.02843	0.02528	0.02964	0.02736	0.0079	0.00842	0.00894	0.0149	0.01911	0.01617	0.02018	0.02317	0.02255	0.0167	0.02344	0.02238	0.02738	0.02134	0.01952	0.01843	0.02985	0.03827	0.021	0.01787	0.02267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27898|s__GGB27898_SGB40333	0.02045	0.01896	0.01532	0.01808	0.0192	0.01969	0.02845	0.01888	0.02214	0.02233	0.01658	0.02163	0.01721	0.02749	0.02175	0.01846	0.03054	0.01836	0.0135	0.01584	0.01193	0.02403	0.03299	0.02658	0.02191	0.01809	0.01684	0.00186	0.00089	0.0	0.01489	0.01839	0.01299	0.01751	0.02085	0.02089	0.0173	0.01974	0.01915	0.01935	0.02533	0.02447	0.02485	0.0195	0.02477	0.0165	0.01914	0.01474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__GGB28248|s__GGB28248_SGB40791	0.01879	0.02215	0.02387	0.01997	0.01589	0.02304	0.02664	0.02339	0.02827	0.03298	0.03135	0.02844	0.03254	0.04219	0.02471	0.02357	0.0373	0.02555	0.01817	0.0251	0.02073	0.0194	0.03202	0.02843	0.02286	0.02427	0.02956	0.00918	0.00591	0.00657	0.01882	0.01782	0.01784	0.01867	0.02233	0.02117	0.01894	0.01768	0.01779	0.02595	0.02238	0.02394	0.01584	0.03168	0.04188	0.02469	0.01696	0.02393	0.03884	0.03177	0.04585	0.04773	0.04664	0.04524	0.03561	0.03053	0.04478	0.02353	0.0379	0.03243	0.0297	0.02624	0.03436	0.04283	0.04377	0.04672	0.02441	0.03362	0.03653	0.04319	0.04295	0.04216	0.04555	0.04871	0.039	0.02286	0.02423	0.0271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28761|s__GGB28761_SGB59843	0.01814	0.01874	0.01479	0.01152	0.01072	0.01843	0.02244	0.01931	0.0255	0.03013	0.01903	0.02454	0.02894	0.03257	0.01931	0.01874	0.02962	0.0254	0.02612	0.0271	0.02665	0.0108	0.01994	0.018	0.01713	0.01986	0.02162	0.01061	0.00849	0.01012	0.01671	0.01687	0.01847	0.01615	0.02021	0.01432	0.01579	0.01887	0.0174	0.01651	0.01769	0.01881	0.00941	0.0254	0.03086	0.02329	0.01278	0.02568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_1xD8_48	0.01746	0.02036	0.02031	0.01138	0.01042	0.01441	0.01794	0.01931	0.02223	0.02631	0.01611	0.03091	0.02585	0.03383	0.01869	0.01656	0.03274	0.02397	0.02245	0.02189	0.02285	0.01096	0.02491	0.02611	0.01765	0.01968	0.02321	0.006	0.00447	0.00816	0.01332	0.01419	0.01558	0.01797	0.01801	0.01422	0.01259	0.01583	0.01	0.01815	0.01573	0.0149	0.00987	0.021	0.03041	0.01982	0.01561	0.02639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45513|s__GGB45513_SGB63185	0.01551	0.0124	0.01096	0.01071	0.01484	0.01272	0.01751	0.01052	0.01424	0.01496	0.01536	0.01599	0.01494	0.01827	0.01493	0.01522	0.01657	0.0152	0.00888	0.0137	0.00997	0.0127	0.01849	0.01953	0.01037	0.01149	0.01043	0.0	0.0	0.0	0.00798	0.00747	0.00877	0.00775	0.01149	0.01345	0.01228	0.01114	0.01392	0.01541	0.01415	0.01281	0.00911	0.01106	0.02005	0.01179	0.01118	0.00842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium	0.01531	0.01067	0.01114	0.00876	0.00882	0.01522	0.01201	0.01203	0.01631	0.01807	0.01002	0.01665	0.01756	0.02517	0.0115	0.01282	0.01734	0.0176	0.01402	0.0155	0.01504	0.00895	0.01771	0.01329	0.01268	0.01415	0.01586	0.00289	0.00157	0.00224	0.00588	0.00978	0.00725	0.00954	0.01013	0.01002	0.01203	0.01212	0.00991	0.01436	0.01056	0.01347	0.0071	0.01317	0.01902	0.01292	0.01033	0.01866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_pseudococcoides	0.01326	0.02085	0.01505	0.01176	0.00876	0.01318	0.01763	0.02448	0.0262	0.03539	0.02002	0.02202	0.04115	0.04209	0.01654	0.01691	0.03102	0.01703	0.0321	0.02737	0.03194	0.00506	0.0187	0.01114	0.00907	0.01006	0.01576	0.0	0.0	0.0	0.0242	0.01907	0.02066	0.01467	0.01479	0.01584	0.01057	0.01542	0.01207	0.01385	0.01662	0.01653	0.00726	0.02413	0.03391	0.02255	0.00696	0.02503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45535|s__GGB45535_SGB63214	0.01318	0.01218	0.01257	0.0121	0.00641	0.0087	0.00874	0.00944	0.01309	0.01372	0.01184	0.01065	0.01483	0.01859	0.01261	0.01084	0.01567	0.01462	0.01485	0.01271	0.01	0.00681	0.01259	0.01413	0.01191	0.01091	0.01306	0.00266	0.00226	0.00144	0.00754	0.00703	0.00551	0.00947	0.00999	0.0116	0.00924	0.00994	0.00945	0.01158	0.00952	0.01102	0.00796	0.01333	0.01364	0.01061	0.00988	0.01341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461|s__GGB30461_SGB63209	0.01317	0.00762	0.00832	0.01107	0.00928	0.00687	0.01149	0.00942	0.01334	0.01038	0.01143	0.01764	0.00975	0.01759	0.01257	0.01113	0.01558	0.01517	0.01143	0.00804	0.00817	0.00867	0.01205	0.01125	0.01392	0.01313	0.01248	0.00369	0.00346	0.00094	0.00746	0.01094	0.00739	0.00558	0.01239	0.01246	0.01163	0.00922	0.01092	0.01514	0.01132	0.01031	0.0062	0.01095	0.01421	0.00969	0.01112	0.01112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038	9e-05	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27792|s__GGB27792_SGB40208	0.01266	0.01563	0.01137	0.01526	0.01036	0.00997	0.01558	0.01196	0.01661	0.01727	0.00859	0.01649	0.01636	0.02189	0.01592	0.01635	0.01551	0.01317	0.01047	0.01126	0.01022	0.0049	0.01046	0.0077	0.01364	0.01795	0.01947	0.00832	0.0045	0.00282	0.00996	0.01897	0.01624	0.00681	0.01277	0.00899	0.01065	0.01235	0.01127	0.01635	0.01402	0.01144	0.0067	0.01372	0.0173	0.00897	0.01176	0.01384	0.02416	0.0152	0.02257	0.01871	0.01775	0.01852	0.01681	0.01767	0.01809	0.0202	0.02417	0.02119	0.01501	0.01549	0.01686	0.01726	0.02359	0.02251	0.02034	0.02002	0.0224	0.02108	0.02251	0.02426	0.0218	0.03122	0.02157	0.01701	0.00921	0.01716
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30454|s__GGB30454_SGB43514	0.01219	0.00754	0.0115	0.00751	0.00815	0.01044	0.01144	0.00975	0.01184	0.01374	0.01162	0.01525	0.01327	0.01488	0.01204	0.01097	0.01096	0.01057	0.0074	0.01091	0.00765	0.0096	0.01068	0.01157	0.00942	0.00975	0.01128	0.00457	0.00265	0.00357	0.00742	0.00724	0.00672	0.00699	0.00794	0.00878	0.01112	0.00926	0.00966	0.00889	0.00828	0.01039	0.00677	0.00845	0.01555	0.00792	0.00692	0.00684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147	0.00226	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB28317|s__GGB28317_SGB40889	0.01161	0.00822	0.0101	0.01566	0.01082	0.00995	0.01246	0.00755	0.00786	0.00929	0.00839	0.01391	0.00919	0.01401	0.00803	0.01196	0.01323	0.00926	0.00779	0.00868	0.00614	0.00861	0.01102	0.00864	0.00811	0.00817	0.00936	0.00202	0.0006	0.0	0.00494	0.0059	0.00633	0.00679	0.00931	0.01061	0.00757	0.00971	0.01132	0.01332	0.00954	0.00865	0.01425	0.0088	0.01481	0.00638	0.0093	0.00645	0.00169	9e-05	0.00064	9e-05	0.0007	0.0	0.0	0.00179	0.0	0.0	0.00028	0.0	0.0	0.0	0.0	0.00026	0.00187	0.0	0.0	0.0	0.0	0.00018	9e-05	0.0	0.00077	0.00179	0.00028	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB31065|s__GGB31065_SGB44330	0.0106	0.01269	0.0111	0.00988	0.01121	0.01013	0.0142	0.01431	0.01461	0.01757	0.01634	0.01358	0.01706	0.02289	0.01184	0.0103	0.01946	0.01387	0.01506	0.01552	0.0149	0.00993	0.01591	0.01961	0.01337	0.0118	0.01574	0.00503	0.0062	0.00607	0.00941	0.00678	0.00928	0.0105	0.01238	0.01184	0.00769	0.00844	0.01093	0.01027	0.01069	0.01038	0.00833	0.01596	0.01744	0.01159	0.00909	0.01305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
